naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
Everything a Word Can Mean,11,2019,English,2355,245,10745,1174,80355,1,1,OTPshipper98
Rosemary for Remembrance,7,2021,English,167789,920,11455,5602,572637,27,27,rubber_soul02
Chicken,6,2015,English,2281,67,8969,864,57590,1,1,Blossomwitch
the family evans,1,2015,English,3529,1020,30840,6538,253584,1,1,dirgewithoutmusic
"Draco Malfoy, It's Your Lucky Day",3,2012,English,37382,610,24470,5652,398608,1,1,Faith Wood (faithwood)
Charred Paws and Heavy Coils,12,2018,English,73953,1199,8772,3644,150543,14,ni podatka,Undead Artist (UndeadArtist)
The Sleeping Beauty Curse,12,2017,English,152552,1554,14777,4029,384228,23,23,who_la_hoop
Tea and No Sympathy,12,2014,English,70045,2235,54651,13811,948127,11,11,who_la_hoop
Measure Of A Man,4,2022,English,588659,9039,35748,15611,3788043,42,42,inadaze22
Take Into the Air (My Quiet Breath),7,2018,English,11725,477,15471,2825,136605,1,1,GuardianMira
The Meaning of Geranium,9,2017,English,239162,3422,8470,897,240822,24,24,Endrina
The Poison Garden,7,2020,English,89503,2808,8192,2513,213149,38,38,turtle_wexler
A Love Potion,9,2014,English,1200,496,17373,1291,147673,1,1,Liepe
The Right Thing To Do,4,2018,English,174911,5955,38850,12679,2057735,36,36,LovesBitca8
Ink (My Skin With Your Name),12,2019,English,21864,199,9584,2372,68452,1,1,Kandakicksass
A Dress with Pockets,11,2019,English,24927,1010,9653,3182,169139,5,5,PacificRimbaud
"Confusion Is Mine, Saith the Lord",7,2022,English,26740,565,10507,1486,126022,5,5,Lomonaaeren
Scientific Method,7,2021,English,133507,2881,10078,1823,214112,46,46,vogon_poet
You Were Crushed (Just Like Me),5,2016,English,4964,233,9921,1161,105268,1,1,firethesound_HP_archive
ink and parchment | blood and bone,3,2021,English,419905,6684,18636,5579,909219,67,67,Rose_by_another_name
Wild Magics,5,2022,English,42325,826,9896,2020,230777,20,20,SilverBlueFire
A Gallows Marriage,8,2024,English,162244,4023,13289,4576,599533,31,31,MilaBelle
Jesus Fucking Christ,3,2024,English,46430,804,10419,2945,259567,19,ni podatka,crispy_croissant
Dragon Singer,8,2016,English,51296,301,9643,2889,125662,13,13,Nahiel
"Mine To Own, Ours To Keep",5,2018,English,69033,689,10765,2584,496435,22,22,bumble_Bree
Embers,10,2017,English,41216,954,26449,5482,426409,3,3,shiftylinguini
Hung Like a Horntail,2,2015,English,2353,237,26025,2788,479643,1,1,lq_traintracks (lumosed_quill)
The Contract,5,2023,English,40722,1192,8218,2025,242933,20,ni podatka,elvirakitties
Matched Set,6,2016,English,5767,297,17426,2957,343462,1,1,astolat
The Little Bat,1,2023,English,76557,3935,14553,3611,598481,37,ni podatka,elvirakitties
All the Young Dudes: Bootleg Tapes,2,2019,English,14231,526,15603,1644,563186,6,ni podatka,MsKingBean89
Solntse,8,2019,English,61997,887,8944,2097,222871,14,14,lumosinlove
Porcupine Quills &amp; Potion Spills: The Second Life of Severus Snape,3,2024,English,48149,1536,11514,2348,321249,43,ni podatka,ShenYuan_did_not_transmigrate_for_this
Side-Along,12,2013,English,22058,237,8834,1822,132686,1,1,lq_traintracks (lumosed_quill)
Candy,1,2017,English,5858,189,10122,1343,95794,1,1,bixgirl1
The Last Seiðr,5,2023,English,66949,1061,8891,3647,208221,10,ni podatka,SummerChildWinterFury
Harry Potter with the Power the Dark Lord Knows Not,2,2017,English,181355,1932,13602,1576,295229,51,51,BakenandEggs
Size Matters,2,2013,English,3422,58,10291,980,182380,1,1,rewrites
Kept Man,12,2019,English,18803,264,10647,2425,123744,4,4,Lomonaaeren
Outside Your Castle,8,2021,English,18202,372,9076,1538,93559,5,5,wynnebat
The Head of the House of Slytherin,2,2021,English,58671,2796,8758,970,211477,55,55,seekeronthepath
How Like Home,8,2025,English,195743,6606,14555,4520,687223,52,ni podatka,waitingondaisies
Strangers in Bars,10,2017,English,7708,250,12606,2082,86786,4,4,WhisperingDarkness
Wands and Arrows,11,2015,English,8220,192,11636,2985,176323,5,5,Runic_Purple_Panda
A String of Consequences,6,2022,English,164536,1097,8460,2091,279065,30,30,semistrawberry
"Terrible, But Great",8,2025,English,344693,10758,25816,7664,796339,56,125,Isalise
I'll Write You An IOU,2,2017,English,7963,168,13367,3132,110184,1,1,TheSilverQueen
How Fate Intended,3,2021,English,398397,4287,14060,3866,866833,72,72,hoboheartache
"yer a wizard, dudley",10,2018,English,21860,822,15500,2769,147085,1,1,dirgewithoutmusic
Starts With a Spin,10,2005,English,119849,880,16339,3994,498580,17,17,Maxine
Slithering,7,2016,English,27355,1163,41423,10420,533237,1,1,astolat
Worlds Beyond Death,4,2024,English,189512,2995,9634,2553,368368,31,31,GeMerope
A Big Black Sky,1,2020,English,90315,2108,23615,7113,472891,13,13,alexmeg
Erosmancy,7,2016,English,11057,374,15366,2559,190544,1,1,astolat
Love In A Time Of The Zombie Apocalypse,1,2022,English,356114,3144,11199,6239,973544,84,84,rizzlewrites
Remain Nameless,11,2020,English,312286,9501,33899,14419,2601827,51,51,HeyJude19
The Best,11,2020,English,90028,1025,10573,3498,255530,42,42,say_no_more
Draco Malfoy and the Cousin He'd Never Asked for (Thank You Very Much),7,2018,English,34331,768,8163,427,118411,8,8,DracoWillHearAboutThis
And I darken,6,2024,English,115629,1497,14766,5035,488489,31,ni podatka,Astra_Mellivora
Potter-Weasley,3,2024,English,118208,1246,8192,2956,226290,8,ni podatka,DayDreamer315
A Short Summary of Things That Are James Potter's Fault,1,2013,English,2205,52,9941,944,101068,1,1,xylodemon
The Meaning of Mistletoe,1,2017,English,30708,1025,12824,2122,243237,3,3,Endrina
Fall Together,6,2022,English,24192,406,8502,1796,67561,4,4,Maeglin_Yedi
Blackberry Tart,9,2020,English,33248,459,12618,1530,138555,3,3,starknjarvis
Time Turned Back,12,2016,English,182031,1238,10882,3174,385485,73,73,TaraSoleil
Twist of Fate,8,2012,English,302014,1346,12074,4565,685812,29,29,Oakstone730
That Old Black Magic,5,2013,English,36775,306,15189,3445,252723,1,1,fallovermelikestars
Crutch,4,2015,English,11508,327,12198,2479,101014,1,1,AWickedMemory (TeddyLaCroix)
Scorpius Malfoy's Future Wife,9,2014,English,1802,182,10089,720,83661,1,1,orphan_account
Flower War,3,2018,English,8307,368,12861,2368,109800,1,1,XxTheDarkLordxX
Perfectly in Pieces,6,2022,English,556722,2568,8295,5408,1062981,65,65,CDLynn
More Than One Way to Win,10,2019,English,18311,593,8642,2051,137851,7,7,scullymurphy
No Grave Can Hold My Body Down,2,2019,English,3447,60,10874,1069,130897,1,1,a_dale
The Second String,4,2021,English,409773,3858,16325,7726,652513,45,45,Eider_Down
All Right,10,2021,English,2570,561,9703,802,260653,7,ni podatka,LovesBitca8
